id,class,rank,name,name-jp,atk,atkMax,advSt,advVal,title,desc,include,active,range,stack,comparison ,operator,,targetType,buff,grade1,grade2,grade3,grade4,grade5,active,range,stack,comparison ,operator,,targetType,buff,grade1,grade2,grade3,grade4,grade5,active,range,stack,comparison ,operator,,targetType,buff,grade1,grade2,grade3,grade4,grade5
10,Anomaly,B,[Magnetic Storm] Alpha,「磁気嵐」‐壱式,32,475,atk-p,20,擾乱電流,状態異常蓄積値を蓄積させると、装備者の異常掌握+25/28/32/36/40Pt、継続時間10秒。20秒に1回のみ発動可能。,TRUE,select,self,,,,,stat,anm-b,25,28,32,36,40,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Anomaly,B,[Magnetic Storm] Bravo,「磁気嵐」‐弐式,32,475,anm-p,68,高電圧サージ,状態異常蓄積値を蓄積させると、装備者の異常マスタリー+25/28/32/36/40Pt、継続時間10秒。20秒に1回のみ発動可能。,TRUE,select,self,,,,,stat,anm-p,25,28,32,36,40,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Anomaly,B,[Magnetic Storm] Charlie,「磁気嵐」‐参式,32,475,pen-r,16,電荷超過,任意のメンバーが敵を状態異常にした時、装備者のエネルギーが3.5/4/4.5/5/5.5Pt回復する、12秒に1回のみ発動可能。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Defense,B,[Identity] Base,「恒等式」‐本格,32,475,def-p,32,沈撃,敵の攻撃を受けた時、装備者の防御力+20/23/26/29/32%、継続時間8秒。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Defense,B,[Identity] Inflection,「恒等式」‐変格,32,475,def-p,32,眩暈,敵の攻撃を受けた時、攻撃を仕掛けた敵の与ダメージ-6/7/8/9/10%、継続時間12秒。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Attack,A,Street Superstar,ストリートスター,40,594,atk-p,25,熱いシャウト,任意のメンバーが『連携スキル』を発動する度に、装備者にパワーを1重与える、最大3重まで重ね掛け可能。『終結スキル』を発動した時、すべてのパワーを消費し、パワー1重につき、スキルの与ダメージ+15/17.2/19.5/21.7/24%。,TRUE,stack,self,3,,,,stat,bonus-dmg,15,17.2,19.5,21.7,24,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Support,A,Slice of Time,歳月の薄片,40,594,pen-r,20,はい「チーズ」,任意のメンバーが『回避反撃』/『強化特殊スキル』/『支援攻撃』/『連携スキル』を発動した時、追加でデシベル値を20/23/26/29/32/25/28.5/32/35.5/40/30/34.5/39/43.5/48/35/40/45/50/55Pt獲得し、装備者のエネルギーが0.7/0.8/0.9/1/1.1Pt回復する、12秒に1回のみ発動可能。バフ効果のクールタイムはスキルごとに計算される。同じパッシブ効果は重ね掛け不可。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Anomaly,A,Rainforest Gourmet,密林の食いしん坊,40,594,anm-p,75,ご飯だよ！,エネルギー値を10Pt消費するたびに、バフ効果を1重獲得する。バフ効果1重につき、装備者の攻撃力+2.5/2.8/3.2/3.6/4%、最大10重まで重ね掛け可能、継続時間10秒。継続時間は重ごとに独立してカウントされる。,TRUE,stack,self,10,,,,stat,atk-p,2.5,2.8,3.2,3.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Attack,A,Starlight Engine,スターライトエンジン,40,594,atk-p,25,ナイトビート,『回避反撃』または『クイック支援』を発動した時、装備者の攻撃力+12/13.8/15.6/17.4/19.2%、継続時間12秒。,TRUE,select,self,,,,,stat,atk-p,12,13.8,15.6,17.4,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Stun,A,Steam Oven,まな板の鯉,40,594,en-reg,50,こってりスープ,エネルギー値10Ptにつき、装備者の衝撃力+2/2.3/2.6/2.9/3.2%、最大8重まで重ね掛け可能。エネルギーが消費された後でも、効果が8秒持続する。継続時間は重ごとに独立してカウントされる。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Stun,A,Precious Fossilized Core,貴重な石化コア,40,594,imp-p,15,巨獣ハンター,ターゲットのHPが50%以上の時、装備者の与えるブレイク値+10/11.5/13/14.5/16%。ターゲットのHPが75%以上の時、この効果が追加で+10/11.5/13/14.5/16%。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Defense,A,Original Transmorpher,正式版変身装置,40,594,hp-p,25,スターライトキーック！,HP上限+8/9/10/11/12.5%。敵の攻撃を受けた時、装備者の衝撃力+10/11.5/13/14.5/16%、継続時間12秒。,FALSE,,,,,,,,hp-p,8,9,10,11,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Anomaly,A,Weeping Gemini,双生の涙,40,594,atk-p,25,啜泣の余波,任意のメンバーが敵を状態異常にした時、装備者にバフ効果を1重与える。バフ効果1重につき、装備者の異常マスタリー+30/34/38/42/48Pt、最大4重まで重ね掛け可能。ターゲットがブレイク状態から復帰する、または死亡した時、バフ効果が終了する。継続時間は重ごとに独立してカウントされる。,TRUE,stack,self,4,,,,stat,anm-p,30,34,38,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Anomaly,A,Electro-Lip Gloss,電撃リップグロス,40,594,anm-p,75,悩殺キッス,フィールド上に状態異常の敵がいる時、装備者の攻撃力+10/11.5/13/14.5/16%、ターゲットに与えるダメージが追加で+15/17.5/20/22.5/25%。,TRUE,select,self,,,,,stat,atk-p,10,11.5,13,14.5,16,additional,self,,,,,stat,bonus-dmg,15,17.5,20,22.5,25,,,,,,,,,,,,,
24,Defense,A,Bunny Band,ラビットチャージャー,40,594,def-p,40,ウサギなでなで,HP上限+8/9.2/10.4/11.6/12.8%。シールドがある時、装備者の攻撃力+10/11.5/13/14.5/16%。,TRUE,select,self,,,,,stat,atk-p,10,11.5,13,14.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Defense,A,Spring Embrace,ホットスプリング,40,594,atk-p,25,飲泉,自身の被ダメージ-7.5/8.5/9.5/10.5/12%。敵の攻撃を受けた時、装備者のエネルギー獲得効率+10/11.5/13/14.5/16%、継続時間12秒。装備者がキャラ切替で退場する時、この効果は操作中のメンバーに引き継がれ、継続時間も更新される。同じパッシブ効果は重ね掛け不可。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Support,A,The Vault,ザ・ボールト,42,624,en-reg,50,金の亡者,『強化特殊スキル』、『連携スキル』または『終結スキル』がエーテル属性ダメージを与えた時、チーム全体がターゲットに与えるダメージ+15/17.5/20/22/24%、装備者のエネルギー自動回復+0.5/0.58/0.65/0.72/0.8Pt/秒、継続時間2秒。同じパッシブ効果は重ね掛け不可。,TRUE,select,team,,,,,stat,bonus-dmg,15,17.5,20,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Attack,A,Housekeeper,ハウスキーパー,42,624,atk-p,25,ご家庭で楽々チェーンソー,控えにいる時、装備者のエネルギー自動回復+0.45/0.52/0.58/0.65/0.72Pt/秒。『強化特殊スキル』が敵に命中すると、装備者の物理属性ダメージ+3/3.5/4/4.4/4.8%、最大15重まで重ね掛け可能、継続時間1秒。重複して発動すると継続時間が更新される。,TRUE,auto,self,15,skill,equal,special-enhance,stat,bonus-phy,3,3.5,4,4.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Attack,A,Starlight Engine Replica,なんちゃってスターライトエンジン,42,624,atk-p,25,ナイトビーム：改,『通常攻撃』または『ダッシュ攻撃』が6メートル以上離れた敵に命中すると、装備者がターゲットに与える物理属性ダメージ+36/41/46.5/52/57.5%、継続時間8秒。,TRUE,select,self,,,,,stat,bonus-phy,36,41,46.5,52,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Attack,A,Drill Rig - Red Axis,ドリルリグ‐レッドシャフト,42,624,en-reg,50,グレンドリル,『強化特殊スキル』または『連携スキル』を発動した時、『通常攻撃』と『ダッシュ攻撃』による電気属性ダメージ+50/57.5/65/72.5/80%、継続時間10秒。15秒に1回のみ発動可能。,TRUE,select,self,,skill,equal,basic dodge-dash,stat,bonus-ele,50,57.5,65,72.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Defense,A,Big Cylinder,ビガー・シリンダー,42,624,def-p,40,10トンジャッキ,自身の被ダメージ-7.5/8.5/9.5/10.5/12%。敵の攻撃を受けた後、次の攻撃が敵に命中すると、装備者の防御力600/690/780/870/960%分のダメージを追加で与え、必ず会心が出る、7.5秒に1回のみ発動可能。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Support,A,Bashful Demon,恥じらう悪面,42,624,atk-p,25,饕餮の相,氷属性ダメージ+15/17.5/20/22/24%。『強化特殊スキル』を発動する度に、チーム全体の攻撃力+2/2.3/2.6/2.9/3.2%、最大4重まで重ね掛け可能、継続時間12秒。重複して発動すると継続時間が更新される。同じパッシブ効果は重ね掛け不可。,TRUE,auto,self,,,,,stat,bonus-ice,15,17.5,20,22,24,stack,team,4,,,,stat,atk-p,2,2.3,2.6,2.9,3.2,,,,,,,,,,,,,
32,Attack,A,Cannon Rotor,キャノンローラー,40,594,crit-r,20,規格外口径,攻撃力+7.5/8.6/9.7/10.8/12%。攻撃が敵に命中し、なおかつ会心が出た時、攻撃力200%分のダメージを追加で与える、8/7.5/7/6.5/6秒に1回のみ発動可能。,TRUE,auto,self,,,,,stat,atk-p,7.5,8.6,9.7,10.8,12,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Support,A,Unfettered Game Ball,ゲームボール,40,594,en-reg,50,ゲーム、スタート！,装備者の攻撃が敵に命中し、なおかつタイプの有利効果が発生した時、チーム全体の該当ターゲットに対する会心率+12/13.5/15.5/17.5/20%、継続時間12秒。同じパッシブ効果は重ね掛け不可。,TRUE,select,team,,,,,stat,crit-r,12,13.5,15.5,17.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Stun,A,Six Shooter,シックスシューター,40,594,imp-p,15,バーン！,3秒ごとに装備者にパワーを1重与える、最大6重まで重ね掛け可能。『強化特殊スキル』を発動した時、すべてのパワーを消費し、パワー1重につき、スキルの与えるブレイク値+4/4.6/5.2/5.8/6.4%。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Attack,S,Steel Cushion,鋼の肉球,46,684,crit-r,24,合金キャットクロー,物理属性ダメージ+20/25/30/35/40%。敵を背後から攻撃し、なおかつ命中した時、装備者の与ダメージ+25/31.5/38/44/50%。,TRUE,auto,self,,,,,stat,bonus-phy,20,25,30,35,40,select,self,,,,,stat,bonus-dmg,25,31.5,38,44,50,,,,,,,,,,,,,
36,Attack,S,The Brimstone,ブリムストーン,46,684,atk-p,30,灼熱の吐息,『通常攻撃』、『ダッシュ攻撃』または『回避反撃』が敵に命中すると、装備者の攻撃力+3.5/4.4/5.2/6/7%、最大8重まで重ね掛け可能、継続時間8秒。0.5秒に1回のみ発動可能、継続時間は重ごとに独立してカウントされる。,TRUE,stack,self,8,,,,stat,atk-p,3.5,4.4,5.2,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Stun,S,Helfire Gears,燃獄ギア,46,684,imp-p,18,熱血施工,控えにいる時、装備者のエネルギー自動回復+0.6/0.75/0.9/1.05/1.2Pt/秒。『強化特殊スキル』を発動する度に、装備者の衝撃力+10/12.5/15/17.5/20%、最大2重まで重ね掛け可能、継続時間10秒。継続時間は重ごとに独立してカウントされる。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Stun,S,The Restrained,束縛されし者,46,684,imp-p,18,束縛の枷鎖,攻撃が敵に命中した時、『通常攻撃』による与ダメージとブレイク値+6/7.5/9/10.5/12%、最大5重まで重ね掛け可能、継続時間8秒。1回の攻撃において、1回のみ発動可能。継続時間は重ごとに独立してカウントされる。,TRUE,stack,self,5,skill,equal,basic,stat,bonus-dmg,6,7.5,9,10.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Anomaly,S,Fusion Compiler,複合コンパイラ,46,684,pen-r,24,データストリーム,攻撃力+12/15/18/21/24%。『特殊スキル』または『強化特殊スキル』を発動する度に、装備者の異常マスタリー+25/31/37/43/50Pt、最大3重まで重ね掛け可能、継続時間8秒。継続時間は重ごとに独立してカウントされる。,TRUE,auto,self,,,,,stat,atk-p,12,15,18,21,24,stack,self,3,,,,stat,anm-p,25,31,37,43,50,,,,,,,,,,,,,
40,Attack,S,Deep Sea Visitor,ディープシー・ビジター,48,713,crit-r,24,諸海の王,氷属性ダメージ+25/31.5/38/44.5/50%。『通常攻撃』が敵に命中した時、装備者の会心率+10/12.5/15/17.5/20%、継続時間8秒。『ダッシュ攻撃』で氷属性ダメージを与えた時、装備者の会心率が追加で+10/12.5/15/17.5/20%、継続時間15秒、継続時間はバフ効果ごとに独立してカウントされる。,TRUE,auto,self,,,,,stat,bonus-ice,25,31.5,38,44.5,50,select,self,,,,,stat,crit-r,10,12.5,15,17.5,20,select,self,,,,,stat,crit-r,10,12.5,15,17.5,20
41,Support,S,Weeping Cradle,啜り泣くゆりかご,46,684,pen-r,24,お・し・お・き,控えにいる時、装備者のエネルギー自動回復+0.6/0.75/0.9/1.05/1.2Pt/秒。装備者の攻撃が敵に命中した時、チーム全体のターゲットに与えるダメージ+10/12.5/15/17.5/20%、継続時間3秒。効果継続中、0.5秒ごとにこのバフ効果が追加で+1.7/2/2.5/3/3.3%、最大10.2/12/15/18/19.8%まで。重複して発動すると、継続時間のみが更新され、ダメージアップ効果が更新されない。同じパッシブ効果は重ね掛け不可。,TRUE,select,team,,,,,stat,bonus-dmg,10,12.5,15,17.5,20,stack,team,6,,,,stat,bonus-dmg,1.7,2,2.5,3,3.3,,,,,,,,,,,,,
42,Attack,S,Riot Suppressor Mark VI,サプレッサーⅣ型,48,713,crit-d,48,安全パトロール,会心率+15/18.8/22.6/26.4/30%。『強化特殊スキル』を発動した時、装備者にパワーを8重与える、最大8重まで重ね掛け可能。『通常攻撃』でエーテル属性ダメージを与えた時、パワーを1重消費し、その攻撃の与ダメージ+35/43.5/52/60.5/70%。,TRUE,auto,self,,,,,stat,crit-r,15,18.8,22.6,26.4,30,select,self,,skill,equal,basic,stat,bonus-eth,35,43.5,52,60.5,70,,,,,,,,,,,,,
43,Support,A,Kaboom the Cannon,喧嘩腰のボンバルダム,42,624,en-reg,50,群衆事故,チームにいる任意の味方ユニットの攻撃が敵に命中した時、すべての味方ユニットの攻撃力+2.5/2.8/3.2/3.6/4%、最大4重まで重ね掛け可能、継続時間8秒。継続時間は重ごとに独立してカウントされる。味方ユニット1名につき、1重のバフ効果を付与できる。同じパッシブ効果は重ね掛け不可。,TRUE,stack,team,4,,,,stat,atk-p,2.5,2.8,3.2,3.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Anomaly,A,Roaring Ride,グロウル・マイ・カー,42,624,atk-p,25,衝突エネルギー ,『強化特殊スキル』が敵に命中すると、以下の効果のいずれか1つが発動する、継続時間5秒、0.3秒に1回のみ発動可能。同じ効果は重ね掛け不可、重複して発動すると継続時間が更新される。異なる効果は併存可能。装備者の攻撃力+8/9.2/10.4/11.6/12.8%。装備者の異常マスタリー+40/46/52/58/64Pt。装備者の状態異常蓄積効率+25/28/32/36/40%。,TRUE,select,self,,,,,stat,atk-p,8,9.2,10.4,11.6,12.8,select,self,,,,,stat,anm-p,40,46,52,58,64,select,self,,,,,stat,effic-anm,25,28,32,36,40
45,Attack,A,Gilded Blossom,金メッキの花信,40,594,atk-p,25,冷々たる連奏,攻撃力+6/6.9/7.8/8.7/9.6%、『強化特殊スキル』の与ダメージ+15/17.2/19.5/21.8/24%。,TRUE,auto,self,,,,,stat,atk-p,6,6.9,7.8,8.7,9.6,auto,self,,skill,equal,special-enhance,stat,bonus-dmg,15,17.2,19.5,21.8,24,,,,,,,,,,,,,
46,Stun,S,Ice-Jade Teapot,玉壺青氷,48,713,imp-p,18,超厳重盗難防止措置,『通常攻撃』が敵に命中すると、「茶味」を1重獲得する。「茶味」1重につき、装備者の衝撃力+0.7/0.88/1.05/1.22/1.4%、最大30重まで重ね掛け可能、継続時間8秒。継続時間は重ごとに独立してカウントされる。「茶味」獲得時、装備者が持つ「茶味」が15以上の場合、チーム全体の与ダメージ+20/23/26/29/32%、継続時間10秒。同じパッシブ効果は重ね掛け不可。,TRUE,stack,self,30,,,,stat,imp-p,0.7,0.88,1.05,1.22,1.4,auto,team,,stack,over,15,stat,bonus-dmg,20,23,26,29,32,,,,,,,,,,,,,
47,Anomaly,S,Sharpened Stinger,磨き抜かれた切っ先,48,713,anm-p,90,気ままな狩り心,『ダッシュ攻撃』を発動した時、「猟欲」を1重獲得する。「猟欲」1重につき、装備者の与える物理属性ダメージ+12/15/18/21/24%、最大3重まで重ね掛け可能、継続時間10秒。この効果は0.5秒に1回のみ発動可能、重複して発動すると継続時間が更新される。接敵状態突入時、または『極限回避』発動時、即座に「猟欲」を3重獲得する。「猟欲」の重数が上限に達すると、装備者の状態異常蓄積効率+40/50/60/70/80%。,TRUE,stack,self,3,,,,stat,bonus-phy,12,15,18,21,24,auto,self,,stack,over,3,stat,effic-anm,40,50,60,70,80,,,,,,,,,,,,,
48,Defense,A,Peacekeeper ‐ Specialized,秩序の守り手・特化型,42,624,atk-p,25,スタンダード・ブロッキング,シールドがある時、装備者のエネルギー自動回復+0.4/0.46/0.52/0.58/0.64Pt/秒。『強化特殊スキル』と『支援突撃』による状態異常蓄積値+36/40/45/50/55%。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Defense,S,Tusks of Fury,猛進するキバ,48,713,imp-p,18,不敗の鉄騎 ,装備者のシールド生成量+30/38/46/52/60%。任意のメンバーが「看破」または『極限回避』を発動した時、チーム全体の与ダメージ+18/22.5/27/31.5/36%、与えるブレイク値+12/15/18/21/24%、継続時間20秒。同じパッシブ効果は重ね掛け不可。,TRUE,select,team,,,,,stat,bonus-dmg,18,22.5,27,31.5,36,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Anomaly,S,Flamemaker Shaker,バーニング・シェイカー,48,713,atk-p,30,注がれる燃料,控えにいる時、装備者のエネルギー自動回復+0.6/0.75/0.9/1.05/1.2Pt/秒。『強化特殊スキル』または『支援攻撃』が敵に命中すると、装備者の与ダメージ+3.5/4.4/5.2/6.1/7%、最大10重まで重ね掛け可能、継続時間6秒、0.3秒に1回のみ発動可能。控えにいる時、重ね掛けの効率が2倍になる。重複して発動すると継続時間が更新される。ダメージアップ効果獲得時、所持している重数が5重以上の場合、追加で装備者の異常マスタリー+50/62/75/87/100Pt。異常マスタリーアップ効果は重ね掛け不可、継続時間6秒。,TRUE,stack,self,10,,,,stat,bonus-dmg,3.5,4.4,5.2,6.1,7,auto,self,,stack,over,5,stat,anm-p,50,62,75,87,100,,,,,,,,,,,,,
51,Anomaly,S,Timeweaver,刻流の賢者,48,713,atk-p,30,刻喰の奇謀,装備者の電気属性の状態異常蓄積効率+30/35/40/45/50%。『特殊スキル』または『強化特殊スキル』が状態異常の敵に命中すると、装備者の異常マスタリー+75/85/95/105/115Pt、継続時間15秒。装備者の異常マスタリーが375Pt以上の時、装備者による「混沌」ダメージ+25/27.5/30/32.5/35%。,TRUE,auto,self,,,,,stat,effic-ele,30,35,40,45,50,select,self,,,,,stat,anm-p,75,85,95,105,115,auto,self,,anmP,over,375,stat,bonus-disorder,25,27.5,30,32.5,35
52,Stun,S,Blazing Laurel,炎心の桂冠,48,713,imp-p,18,流るる炎 ,『クイック支援』または『極限支援』発動時、装備者の衝撃力+25/28.75/32.5/36.25/40%、継続時間8秒。装備者の『通常攻撃』が敵に命中すると、ターゲットに「衰耗」を1重付与する、最大20重まで重ね掛け可能、継続時間30秒、重複して発動すると継続時間が更新される。任意のメンバーの攻撃が敵に命中した時、ターゲットの「衰耗」1重につき、今回の攻撃による氷属性ダメージと炎属性ダメージの会心ダメージ+1.5/1.72/1.95/2.17/2.4%、該当効果はチーム内でひとつしか有効にならない。,TRUE,select,self,,,,,stat,imp-p,25,28.75,32.5,36.25,40,stack,enemy,20,attr,equal,Fire Ice,stat,crit-d,1.5,1.72,1.95,2.17,2.4,,,,,,,,,,,,,
53,Attack,A,Marcato Desire,強音デザイア,40,594,crit-r,20,ヒートアップ,『強化特殊スキル』または『連携スキル』が敵に命中すると、装備者の攻撃力+6/6.9/7.8/8.7/9.6%、継続時間8秒。ターゲットが状態異常の場合、この効果がさらに+6/6.9/7.8/8.7/9.6%。,TRUE,select,self,,,,,stat,atk-p,6,6.9,7.8,8.7,9.6,select,self,,,,,stat,atk-p,6,6.9,7.8,8.7,9.6,,,,,,,,,,,,,
54,Anomaly,S,Hailstorm Shrine,あられ落つ星殿,50,743,crit-r,24,霜染の寒星,会心ダメージ+50/57/65/72/80%。『強化特殊スキル』発動時、または任意のメンバーが敵を状態異常にした時、装備者による氷属性ダメージ+20/23/26/29/32%、最大2重まで重ね掛け可能、継続時間15秒。継続時間は1重ごとに独立してカウントされる。,TRUE,auto,self,,,,,stat,crit-d,50,57,65,72,80,stack,self,2,,,,stat,bonus-ice,20,23,26,29,32,,,,,,,,,,,,,
55,Attack,S,Zanshin Herb Case,残心の青籠,48,713,crit-d,48,生死一如,会心率+10/11.5/13/14.5/16%。『ダッシュ攻撃』による電気属性ダメージ+40/46/52/58/64%。任意のメンバーが敵を状態異常またはブレイク状態にした時、装備者の会心率が追加で+10/11.5/13/14.5/16%、継続時間15秒。,TRUE,auto,self,,,,,stat,crit-r,10,11.5,13,14.5,16,auto,self,,skill,equal,dodge-dash,skill,bonus-ele,40,46,52,58,64,select,self,,,,,stat,crit-r,10,11.5,13,14.5,16
56,Support,S,Elegant Vanity,優美のヴァニティ,48,713,atk-p,30,異彩の華,任意のメンバーが『クイック支援』、『連携スキル』、『パリィ支援』、『回避支援』で出場した時、装備者のエネルギーを5/5.5/6/6.5/7Pt回復する、5秒に1回のみ発動可能。装備者がエネルギーを25Pt以上消費した時、チーム全体の与ダメージ+10/11.5/13/14.5/16%、最大2重まで重ね掛け可能、継続時間20秒、重複して発動すると継続時間が更新される、該当効果はチーム内でひとつしか有効にならない。,TRUE,stack,team,2,,,,stat,bonus-dmg,10,11.5,13,14.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Attack,S,Heartstring Nocturne,心弦のノクターン,48,713,crit-r,24,弦の音をまとって,会心ダメージ+50/57.5/65/72.5/80%。フィールド入場時、『連携スキル』発動時および『終結スキル』発動時に、装備者が「心弦」を1重獲得する。「心弦」1重につき、装備者の『連携スキル』と『終結スキル』がターゲットの炎属性ダメージ耐性を12.5/14.5/16.5/18.5/20%無視する。最大2重まで重ね掛け可能、継続時間30秒、重複して発動すると継続時間が更新される。,TRUE,auto,self,,,,,stat,crit-d,50,57.5,65,72.5,80,stack,self,2,skill,equal,chain,skill,pen-fire,12.5,14.5,16.5,18.5,20,,,,,,,,,,,,,
58,Attack,S,Severed Innocence ,純然たる犠牲,48,713,crit-d,48,花冷え、静かなる光,会心ダメージ+30%/34.5%/39%/43.5%/48%。装備者の『通常攻撃』、『特殊スキル』、または『追加攻撃』が敵に命中した時、それぞれバフ効果を1重獲得する。バフ効果1重につき、装備者の会心ダメージが追加で+10%/11.5%/13%/14.5%/16%、最大3重まで重ね掛け可能、継続時間60秒。継続時間は1重ごとに独立してカウントされ、1回のスキルにおいて1回のみ発動可能。バフ効果を3重所持している場合、装備者による電気属性ダメージ+20%/23%/26%/29%/32%。,TRUE,auto,self,,,,,stat,crit-d,30,34.5,39,43.5,48,stack,self,3,,,,stat,crit-d,10,11.5,13,14.5,16,auto,self,,stack,equal,3,stat,bonus-ele,20,23,26,29,32
